lemma,correct_spelling
apoftles,apostle
houfes,house
fif,sis
ftreet,street
tranflation,translation
perfuaded,persuaded
abfence,absence
hift,hist
fettlement,settlement
ecclefiaftical,ecclesiastical
defcent,descent
flain,slain
monfieur,monsieur
fubje,subje
fearch,search
difcipline,discipline
inferted,inserted
fuddenly,suddenly
defe,dese
perfe,perse
fubmit,submit
aftir,astir
fong,song
friendfhip,friendship
refufe,refuse
fmooth,smooth
manifeft,manifest
fchool,school
inftitution,institution
foord,soord
worft,worst
affembly,assembly
fcheme,scheme
ftruck,struck
inconfiderable,inconsiderable
eaftern,eastern
weftern,western
obferving,observing
oppofe,oppose
reafoning,reasoning
floo,sloo
abfurd,absurd
beaft,beast
reprefentation,representation
excufe,excuse
ftep,step
magiftrate,magistrate
immenfe,immense
diftinguifhed,distinguished
flav,slav
pofterity,posterity
baptifm,baptism
chriftians,christian
affistance,assistance
lefs,less
paffing,passing
chofe,chose
jerufalem,jerusalem
comparifon,comparison
affigned,assigned
miftaken,mistaken
oppofed,opposed
falt,salt
ofiered,osiered
requifite,requisite
fupreme,supreme
bofom,bosom
arofe,arose
cenfure,censure
afk,ask
diforder,disorder
exprefs,express
conftable,constable
fax,sax
confift,consist
refult,result
chinefe,chinese
purfue,pursue
ftation,station
haf,ha
fatisfy,satisfy
enfign,ensign
duft,dust
prefervation,preservation
ruffia,russia
fquadron,squadron
fnow,snow
treafure,treasure
deferve,deserve
fex,sex
subftance,substance
outfide,outside
nofe,nose
caufes,cause
briftol,bristol
profperity,prosperity
furrender,surrender
ftream,stream
fugar,sugar
ftock,stock
fouthern,southern
inftantly,instantly
francof,franco
ftranger,stranger
foap,soap
reftore,restore
prefume,presume
fireship,sireship
portuguefe,portuguese
expreffion,expression
propofal,proposal
cheefe,cheese
foever,fever
ceafe,cease
claufe,clause
mifchief,mischief
rufa,rusa
chefter,chester
veffel,vessel
fincerity,sincerity
fuitable,suitable
fubfequent,subsequent
fhare,share
forry,sorry
abufe,abuse
weftminfter,westminster
fele,sele
fiev,siev
fituate,situate
deceafed,deceased
philofopher,philosopher
syftem,system
vifcount,viscount
purfuit,pursuit
fincerely,sincerely
interefting,interesting
mufe,muse
befide,beside
poffeffion,possession
artift,artist
difgrace,disgrace
commiffioners,commissioner
refentment,resentment
illuftrious,illustrious
fue,sue
ftorm,storm
difagreeable,disagreeable
fucceed,succeed
profeffion,profession
treafury,treasury
pofitive,positive
montferrat,montserrat
foro,soro
ftrike,strike
favage,savage
propofition,proposition
ftage,stage
fuppofing,supposing
defpair,despair
foldier,soldier
horfes,horse
bleffed,blessed
refemblance,resemblance
monaftery,monastery
phyfician,physician
difcretion,discretion
unjuft,unjust
decifive,decisive
fucceeding,succeeding
epiftle,epistle
ftraight,straight
johnfon,johnson
princefs,princess
defcribe,describe
eftates,estate
fith,sith
ofier,osier
earneft,earnest
erf,er
accuftomed,accustomed
legiflature,legislature
ufage,usage
fheep,sheep
goldf,gold
effential,essential
fite,site
leifure,leisure
fhape,shape
impf,imp
finging,singing
fui,sui
papifts,papist
affift,assist
finifhed,finished
hiftorical,historical
fufpicion,suspicion
fown,sown
propofe,propose
domeftic,domestic
folution,solution
feventh,seventh
cuftoms,custom
landfcape,landscape
obferv,observ
occafionally,occasionally
apprehenfion,apprehension
profecution,prosecution
ifaac,isaac
fublime,sublime
iof,io
fero,sero
boaft,boast
bedf,bed
jealoufy,jealousy
accufed,accused
infomuch,insomuch
manf,man
posseffion,possession
fandy,sandy
furnifhed,furnished
ftriking,striking
fafhion,fashion
recourfe,recourse
diftinction,distinction
diftinct,distinct
neareft,nearest
seffion,session
correfpondence,correspondence
wief,wy
ftop,stop
referved,reserved
fentiment,sentiment
profe,prose
yefterday,yesterday
highnefs,highness
intercourfe,intercourse
fpare,spare
refolve,resolve
expreffed,expressed
fuperiority,superiority
poifon,poison
cof,co
tuefday,tuesday
effence,essence
fober,sober
pafture,pasture
difpatch,dispatch
juftify,justify
choofe,choose
fpacious,spacious
excife,excise
feize,seize
faving,saving
fecretary,secretary
sof,so
suppofe,suppose
everlafting,everlasting
invafion,invasion
reverfe,reverse
mufick,music
fori,sorus
perfuade,persuade
applaufe,applause
bleft,blessed
decifion,decision
controverfy,controversy
afton,aston
gaf,gas
fim,sim
irifh,irish
goodnefs,goodness
generofity,generosity
curfe,curse
diocefe,diocese
wifhed,wished
ftore,store
caf,ca
fworn,sworn
imprifonment,imprisonment
burnouf,burnout
fhame,shame
exclufive,exclusive
grif,gris
flave,slave
flete,slete
fcale,scale
weftward,westward
fmell,smell
obfcure,obscure
bleffing,blessing
elfewhere,elsewhere
truftees,trustee
paradife,paradise
devife,devise
hiftorian,historian
exift,exist
injuftice,injustice
fcripture,scripture
lancafter,lancaster
seafon,season
prefs,press
fkin,skin
ferving,serving
beftow,bestow
thurfday,thursday
deftruction,destruction
confumption,consumption
fkill,skill
fimply,simply
difpofe,dispose
bufi,busi
difplay,display
fuccefsful,successful
jif,ji
arreft,arrest
advifed,advised
cofi,cosi
durft,durst
earneftly,earnestly
amidft,amidst
perfecution,persecution
defcend,descend
bifhops,bishop
ofe,ose
auftria,austria
coarfe,coarse
effex,essex
eaftward,eastward
bofton,boston
rof,ro
furvey,survey
confist,consist
fouthward,southward
eftablished,established
defperate,desperate
priefts,priest
feventy,seventy
confecrated,consecrated
diftinguished,distinguished
rochefter,rochester
defert,desert
hoft,host
exprefsly,expressly
confefs,confess
refiftance,resistance
fuffering,suffering
clofely,closely
winchefter,winchester
perfian,persian
univerfe,universe
fpend,spend
tif,is
refigned,resigned
befl,besl
befeech,beseech
fwear,swear
ofan,osan
ferves,serve
osf,os
advife,advise
fmile,smile
windfor,windsor
repofe,repose
defires,desire
interefted,interested
abfent,absent
fune,sune
philofophical,philosophical
confcious,conscious
ftatue,statue
reafonably,reasonably
refort,resort
cofine,cosine
fenate,senate
conteft,contest
refide,reside
phrafe,phrase
sif,si
bafis,basis
reftrain,restrain
ftir,stir
hef,he
affent,assent
effay,essay
furnifh,furnish
focial,social
leffe,lesse
eftablifhment,establishment
mafters,master
fucceffion,succession
refident,resident
fein,sein
fcattered,scattered
difappointed,disappointed
fignification,signification
fuppofition,supposition
prifoners,prisoner
ftandard,standard
modefty,modesty
monf,mon
refign,resign
ftroke,stroke
refignation,resignation
fhow,show
somerfet,somerset
vifion,vision
reftoration,restoration
pofture,posture
confult,consult
increafing,increasing
foh,soh
parfon,parson
ftile,stile
chriftopher,christopher
newcaftle,newcastle
fcorn,scorn
ufes,use
defirable,desirable
fession,session
fpeedy,speedy
ftrait,strait
affured,assured
gloucefter,gloucester
fpite,spite
hudfon,hudson
flender,slender
eafter,easter
fixteenth,sixteenth
refift,resift
purpofes,purpose
dof,do
penfion,pension
itf,it
fharp,sharp
herof,hero
fufpended,suspended
conftruction,construction
expofe,expose
promifes,promise
fterling,sterling
moftly,mostly
leicefter,leicester
ftrain,strain
didft,did
fupposed,supposed
verfion,version
feeming,seeming
impreffion,impression
fof,fo
myftery,mystery
wiffe,wisse
fteep,steep
amufement,amusement
releafe,release
abfurdity,absurdity
proteftants,protestant
wednefday,wednesday
fhade,shade
fhalt,shall
ftomach,stomach
converfion,conversion
reftraint,restraint
fatire,satire
fpeed,speed
diftributed,distributed
confort,consort
northweft,northwest
pfalm,psalm
diftemper,distemper
bufy,busy
neceffarily,necessarily
befieged,besieged
reverfion,reversion
fuer,suer
deftitute,destitute
accufation,accusation
difperfed,dispersed
fmoke,smoke
ftudied,studied
fplendid,splendid
froft,frost
diftrict,district
exhaufted,exhausted
difplayed,displayed
reftitution,restitution
confeffion,confession
teft,test
confpiracy,conspiracy
efquire,esquire
fap,sap
fupper,supper
fulphur,sulphur
fup,sup
folemnly,solemnly
deferved,deserved
coufin,cousin
purfe,purse
unreafonable,unreasonable
diftinguifh,distinguish
modeft,modest
juftification,justification
refolv,resolv
fixpence,sixpence
refufal,refusal
ftar,star
hookf,hook
epifcopal,episcopal
fhou,shou
legiflative,legislative
mufical,musical
fpecimen,specimen
jaff,jass
wift,wist
leffer,lesser
previoufly,previously
forfake,forsake
flavery,slavery
difappointment,disappointment
eftablifh,establish
infolence,insolence
referve,reserve
fpeedily,speedily
profpect,prospect
baftard,bastard
perfuafion,persuasion
falm,salm
inconfiftent,inconsistent
thyfelf,thyself
diftribution,distribution
refpective,respective
fwell,swell
arf,ars
prefumption,presumption
deceafe,decease
fummit,summit
fhadow,shadow
tranfport,transport
manufcript,manuscript
afcertain,ascertain
jefuits,jesuit
induftrious,industrious
falutary,salutary
furprife,surprise
fhee,shee
reftrained,restrained
honefty,honesty
difcern,discern
findon,sindon
flavel,slavel
fport,sport
anceftor,ancestor
footh,sooth
fupporting,supporting
ecclesiaftical,ecclesiastical
fphere,sphere
confpicuous,conspicuous
horfeback,horseback
addifon,addison
fubdued,subdued
proteft,protest
reafons,reason
fuck,suck
averfion,aversion
clofed,closed
celeftial,celestial
fett,sett
worcefter,worcester
troublefome,troublesome
yaf,yas
fovereignty,sovereignty
fection,section
commisfion,commission
compofe,compose
quickfilver,quicksilver
fuftained,sustained
harveft,harvest
monftrous,monstrous
publifh,publish
neft,nest
majefties,majesty
difpleafure,displeasure
forefight,foresight
tranfparent,transparent
fuperftition,superstition
affertion,assertion
reff,ref
finister,sinister
fecretly,secretly
defpife,despise
magiftrates,magistrate
acrofs,across
cuftomary,customary
exquifite,exquisite
thruft,thrust
tbe,the
beav,heav
bayley,hayley
bein,being
tbat,that
bui,hui
ob,oh
tbey,they
berl,herl
bindley,hindley
jobn,john
bartley,hartley
barbour,harbour
bie,hie
tbo,tho
binney,hinney
barwell,harwell
bave,have
beda,heda
tbem,them
witb,with
bussy,hussy
bost,host
bolland,holland
acb,ach
bome,home
tbeir,their
bic,hic
bilton,hilton
pbo,pho
bish,hish
bau,hau
bour,hour
bence,hence
biver,hiver
bao,hao
tbis,this
bem,hem
bubb,hubb
otber,other
clotb,cloth
botta,hotta
bex,hex
beloe,below
bia,hia
baikal,haikal
bagg,hagg
bew,hew
bame,hame
osb,osh
bep,hep
wbo,who
sby,shy
bei,hei
bayfield,hayfield
belin,helin
tbi,thi
sbe,she
cbe,che
bila,hilum
byde,hyde
tba,tha
tby,thy
musb,mush
wbich,which
bue,hue
bip,hip
sber,sher
boddy,hoddy
beart,heart
wbicb,which
batb,bath
boe,hoe
whicb,which
babb,habb
bof,hof
bashi,hashi
bidden,hidden
tbere,there
sabb,sahh
dba,dha
beaven,heaven
ocb,och
labat,lahat
tbou,you
woolf,wool
